# Version 1.00
#
freq[Hz];db:Trc1_S21;ang:Trc1_S21;
3.610000000000000E+009;-4.957070056056305E+001;-1.297579723941793E+002;
3.610005000000000E+009;-4.948549770980671E+001;-1.305162666695043E+002;
3.610010000000000E+009;-4.948905124337170E+001;-1.296386260178371E+002;
3.610015000000000E+009;-4.945916068711534E+001;-1.298869623275685E+002;
3.610020000000000E+009;-4.955690349677967E+001;-1.301634441792856E+002;
3.610025000000000E+009;-4.950899231376774E+001;-1.303386680087227E+002;
3.610030000000000E+009;-4.941153701871409E+001;-1.297914000502641E+002;
3.610035000000000E+009;-4.957241797701600E+001;-1.299443482927833E+002;
3.610040000000000E+009;-4.951134177298292E+001;-1.301893914243842E+002;
3.610045000000000E+009;-4.945293437123535E+001;-1.302254354276974E+002;
3.610050000000000E+009;-4.946827518083754E+001;-1.302836208385116E+002;
3.610055000000000E+009;-4.947280714647572E+001;-1.304667112948731E+002;
3.610060000000000E+009;-4.957665449949862E+001;-1.306184018064814E+002;
3.610065000000000E+009;-4.952370559509645E+001;-1.303986195722450E+002;
3.610070000000000E+009;-4.947658227825255E+001;-1.301987175321499E+002;
3.610075000000000E+009;-4.959547582171193E+001;-1.302815388616113E+002;
3.610080000000000E+009;-4.950460099645269E+001;-1.304970764347620E+002;
3.610085000000000E+009;-4.945361776501544E+001;-1.305447739103224E+002;
3.610090000000000E+009;-4.960993859615380E+001;-1.301983247477148E+002;
3.610095000000000E+009;-4.948837385677302E+001;-1.304371269506467E+002;
3.610100000000000E+009;-4.944921592343327E+001;-1.305165065831466E+002;
3.610105000000000E+009;-4.957989880167395E+001;-1.311728448815918E+002;
3.610110000000000E+009;-4.955233979775106E+001;-1.315872568222308E+002;
3.610115000000000E+009;-4.951108651227475E+001;-1.309446955223233E+002;
3.610120000000000E+009;-4.957043359528019E+001;-1.310287050849409E+002;
3.610125000000000E+009;-4.951446209542816E+001;-1.311721930292555E+002;
3.610130000000000E+009;-4.955392401739942E+001;-1.308838022428662E+002;
3.610135000000000E+009;-4.958770455559809E+001;-1.304976070995043E+002;
3.610140000000000E+009;-4.947614800160592E+001;-1.305683336681097E+002;
3.610145000000000E+009;-4.953548835549367E+001;-1.312371107300914E+002;
3.610150000000000E+009;-4.957691273543033E+001;-1.311996305266730E+002;
3.610155000000000E+009;-4.954856201034185E+001;-1.311902392870026E+002;
3.610160000000000E+009;-4.950532676024859E+001;-1.316558985472319E+002;
3.610165000000000E+009;-4.952261945648554E+001;-1.316047442828078E+002;
3.610170000000000E+009;-4.950478604602368E+001;-1.317611486936989E+002;
3.610175000000000E+009;-4.958001531150651E+001;-1.312897044289480E+002;
3.610180000000000E+009;-4.964552417066228E+001;-1.312283352244578E+002;
3.610185000000000E+009;-4.944264856908268E+001;-1.310756334610719E+002;
3.610190000000000E+009;-4.951262815845966E+001;-1.322404790283985E+002;
3.610195000000000E+009;-4.957976025446058E+001;-1.316851970565353E+002;
3.610200000000000E+009;-4.949135162367212E+001;-1.317563490572038E+002;
3.610205000000000E+009;-4.962378958804771E+001;-1.318956976601355E+002;
3.610210000000000E+009;-4.954208963065419E+001;-1.316338237808898E+002;
3.610215000000000E+009;-4.943774632581840E+001;-1.319468719295824E+002;
3.610220000000000E+009;-4.950939579521869E+001;-1.317575170484072E+002;
3.610225000000000E+009;-4.955151356542903E+001;-1.325834915393445E+002;
3.610230000000000E+009;-4.954017349046880E+001;-1.323578302551040E+002;
3.610235000000000E+009;-4.951941308846347E+001;-1.322990521098187E+002;
3.610240000000000E+009;-4.958438732181602E+001;-1.319807188483703E+002;
3.610245000000000E+009;-4.953481013839571E+001;-1.319630635498826E+002;
3.610250000000000E+009;-4.957164997428305E+001;-1.323567914748501E+002;
3.610255000000000E+009;-4.943636896353699E+001;-1.318011377018424E+002;
3.610260000000000E+009;-4.961734964730105E+001;-1.321618169427914E+002;
3.610265000000000E+009;-4.945165718843390E+001;-1.317429470168733E+002;
3.610270000000000E+009;-4.947041924668758E+001;-1.323811349801403E+002;
3.610275000000000E+009;-4.954109184532047E+001;-1.323421831818665E+002;
3.610280000000000E+009;-4.954266942966185E+001;-1.320217233645426E+002;
3.610285000000000E+009;-4.950910372470908E+001;-1.323516891995145E+002;
3.610290000000000E+009;-4.951691373879645E+001;-1.320894075667160E+002;
3.610295000000000E+009;-4.953306629350475E+001;-1.323871282278296E+002;
3.610300000000000E+009;-4.958588694060403E+001;-1.327340063893249E+002;
3.610305000000000E+009;-4.946402881196531E+001;-1.326337890815195E+002;
3.610310000000000E+009;-4.946731301591534E+001;-1.319015828191657E+002;
3.610315000000000E+009;-4.952391299331126E+001;-1.327566820084734E+002;
